Province Code|Province Name|Regency/Municipality Code|Regency/Municipality Name|District Code|District Name|Village Code|Village Name|Population
11|ACEH|01|SIMEULUE|010|TEUPAH SELATAN|001|LATIUNG|270
||||||002|LABUHAN BAJAU|398
||||||003|SUAK LAMATAN|465
||||||004|ANA AO|515
||||||005|LATALING|340
||||||006|PULAU BENGKALAK|378
||||||007|BADEGONG|289
||||||008|KEBUN BARU|398
||||||009|ULUL MANYANG|310
||||||010|PASIR TINGGI|396
||||||011|LABUHAN JAYA|568
||||||012|LABUHAN BAKTI|1127
||||||013|BATU RALANG|359
||||||014|ALUS ALUS|627
||||||015|SEUNEUBOK|490
||||||016|BLANG SEBEL|594
||||||017|TRANS BARU|218
||||||018|TRANS MERANTI|377
||||||019|TRANS JERNGE|303
||||020|SIMEULUE TIMUR|001|MATANURUNG|499
||||||002|LASIKIN|899
||||||003|LANTING|400
||||||004|SIMPANG ABAIL|334
||||||005|ABAIL|324
||||||006|NANCAWA|275
||||||007|LABUAH|452
||||||008|SUA SUA|655
||||||009|BATU BATU|609
||||||010|SITUBUK|225
||||||022|AIR PINANG|1089
||||||023|KUALA MAKMUR|1104
||||||024|GANTING|1151
||||||025|LINGGI|636
||||||026|LUGU|781
||||||027|SINABANG|1704
||||||028|SUKA MAJU|2415
||||||029|SUKA KARYA|4466
||||||030|SUKA JAYA|2536
||||||031|AIR DINGIN|2728
||||||032|KOTA BATU|1080
||||||033|BUSUNG INDAH|587
||||||034|KAHAT|533
||||||035|SUAK BULUH|1184
||||||036|UJUNG TINGGI|388
||||||037|PULAU SIUMAT|310
||||||038|SEFOYAN|454
||||||039|AMAITENG MULIA|518
||||||040|AMERIA BAHAGIA|595
||||021|TEUPAH BARAT|001|SITAL|273
||||||002|LEUBANG|831
||||||003|LEUBANG HULU|383
||||||004|AWE SEUBAL|521
||||||005|LANTIK|456
||||||006|AWE KECIL|318
||||||007|SALUR|689
||||||008|SALUR LATUN|231
||||||009|SALUR LASENGALU|519
||||||010|NANCALA|169
||||||011|MAUDIL|526
||||||012|INOR|497
||||||013|NAIBOS|272
||||||014|LAAYON|225
||||||015|ANGKEO|423
||||||016|BUNON|287
||||||017|SILENGAS|395
||||||018|PULAU TEUPAH|254
||||030|SIMEULUE TENGAH|001|DIHIT|332
||||||002|LAUKE|635
||||||003|LAMBAYA|517
||||||004|LAKUBANG|335
||||||005|KAMPUNG AIE|1639
||||||006|LAUREE|138
||||||007|LATITIK|146
||||||008|LAMAYANG|145
||||||009|WEL WEL|297
||||||010|BUBUHAN|300
||||||011|AMARABU|487
||||||012|KUTA INANG|351
||||||013|KUTA PADANG|418
||||||014|LATAK AYAH|330
||||||015|SIBULUH|408
||||||016|BORENGAN|321
||||||017|UJUNG PADANG|274
||||||020|SITUFA JAYA|281
||||||021|PUTRA JAYA|299
||||||022|LUAN SORIP|474
||||||023|SUAK BARU|172
||||||024|SEBBE|186
||||||025|KUTA BATU|207
||||||026|WEL LANGKOM|318
||||031|TELUK DALAM|001|KUALA BAKTI|227
||||||002|LUGU SEBAHAK|390
||||||003|GUNUNG PUTIH|354
||||||004|BABUSSALAM|458
||||||005|MUARA AMAN|314
||||||006|LUAN BALU|1070
||||||007|SAMBAI|546
||||||008|KUALA BARU|589
||||||009|TANJUNG RAYA|370
||||||010|BULU HADIK|596
||||040|SALANG|001|UJUNG SALANG|476
||||||002|PADANG UNOI|667
||||||003|MEUNAFA|813
||||||004|NASREUHE|933
||||||005|ALONG|425
||||||006|PANTON LAWE|359
||||||007|MUTIARA|458
||||||008|KARYA BAKTI|454
||||||009|TAMON|420
||||||010|JAYA BARU|451
||||||011|TAMENG|540
||||||012|LALLA|265
||||||013|SUAK MANANG|401
||||||014|BUNGA|558
||||||015|GANANG PUSAKO|199
||||||016|KENANGAN|206
||||050|SIMEULUE BARAT|007|SANGGIRAN|649
||||||008|AMABAAN|916
||||||009|MITEUM|562
||||||010|MALASIN|952
||||||011|LAMAMEK|682
||||||012|SIGULAI|1196
||||||013|SEMBILAN|899
||||||014|LAYABAUNG|1105
||||||015|LHOK MAKMUR|774
||||||016|UJUNG HARAPAN|552
||||||017|LHOK BIKHAO|323
||||||018|BABUL MAKMUR|478
||||||019|BATU RAGI|468
||||||020|SINAR BAHAGIA|468
||||051|ALAFAN|001|LAFAKHA|641
||||||002|LHOK DALAM|331
||||||003|LUBUK BAIK|549
||||||004|LANGI|813
||||||005|SERAFON|327
||||||006|LHOK PAUH|432
||||||007|LAMEREM|474
||||||008|LEWAK|912
||02|ACEH SINGKIL|010|PULAU BANYAK|001|ASANTOLA|562
||||||002|UJUNG SIALIT|1093
||||||003|PULAU BAGUK|1358
||||||004|PULAU BALAI|1608
||||||005|TELUK NIBUNG|950
||||||006|HALOBAN|830
||||||007|SUKA MAKMUR|169
||||020|SINGKIL|003|PULAU SAROK|3618
||||||004|PASAR SINGKIL|1301
||||||005|UJUNG|1836
||||||006|KOTA SIMBOLING|274
||||||007|KILANGAN|1586
||||||009|TELUK AMBUN|750
||||||010|RANTAU GEDANG|523
||||||011|TELUK RUMBIA|748
||||||012|TAKAL PASIR|508
